,folio_Bamberg,lemma_id,lemma_Bamberg,gloss_id_Bamberg,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,folio_Lat7499,lemma_Lat7499,gloss_id_Lat7499,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
82,71r,p448_l18_o08,c̃siderans. ,p448_l18_o08_a,c̃spiciens (PERSPICI?)  ͤ ᷠ ᷤ,S22,F3,normal,,,,73v,considerans ,p448_l18_o08_a,inspiciens: c̃spi/ciens. ꝑ pendens : qualit̃ cõnabor,S22,F2,,,
83,71r,p448_l18_o09,Notatis ,p448_l18_o09_a,exceptis SEGREGA ͭ ͥ ᷤ,S22,F3,normal,,,,73v,Notatis ,p448_l18_o09_a,segregatis signatis manifestatis,S22,F3,p448_l18_o09_b,S24,F4
84,71r,p448_l19_o01,anomalis ,p448_l19_o01_a,inęqualib,S22,F2,normal,,,,73v,anomalis ,p448_l19_o01_a,inęqualib; / s. uerbis,S22,F2,p448_l19_o01_b,S22,F4
85,71r,p448_l19_o06,plerũq ,p448_l19_o06_a,sedulo,S22,F2,normal,,,,73v,plerũq ,p448_l19_o06_a,sepe sedulo,S22,F3,p448_l19_o06_b,S53,F5
86,71r,p448_l19_o10,analogię ,p448_l19_o10_a,c̃rationalitatis,S53,F3,normal,,,,73v,analogię ,p448_l19_o10_a,similium ł con ratio/nalitatis,S22,F3,p448_l19_o10_b,S23,F5
87,71r,p448_l20_o02,possũ ,,,,,,p448_l20_o02_a,S24,F4,73v,prosum ,p448_l20_o02_a,ꝓfitio,S22,F2,,,
88,71r,p448_l20_o03,inquã ,p448_l20_o03_a,dico,S22,F2,normal,,,,73v,inquã ,p448_l20_o03_a,dixi dico,S22,F2,,,
89,71r,p448_l20_o04,cedo ,p448_l20_o04_a,dic,S22,F2,normal,,,,73v,cędo ,p448_l20_o04_a,ꝑcutio,S22,F2,p448_l20_o04_b,S13,F5
90,71r,p448_l20_o05,edo ,p448_l20_o05_a,COMED ͦ,S22,F2,shorthand,,,,73v,Edo ,p448_l20_o05_a,manduco,S22,F2,p448_l20_o05_b,S5,F5
91,71r,p448_l20_o06,faxo ,p448_l20_o06_a,facio ł ILLUMIN ͦ?,S22,F3,normal,,,,73v,Faxo ,p448_l20_o06_a,facio ł illumino,S22,F3,,,
92,71r,p448_l20_o07,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,,73v,Sodes ,p448_l20_o07_a,si audes,S25,F3,,,
93,71r,p448_l20_o08,aue ,p448_l20_o08_a,salue,S22,F2,normal,,,,73v,Aue ,p448_l20_o08_a,salue,S22,F2,,,
94,71r,p448_l20_o09,ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,normal,p448_l20_o09_b,S54,F4,73v,Ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,p448_l20_o09_b,S5,F5
95,71r,p448_l20_o10,infit ,p448_l20_o10_a,inquit,S22,F2,normal,,,,73v,Infit ,p448_l20_o10_a,inꝗd,S22,F2,,,
96,71r,p448_l21_o04,quędã ,p448_l21_o04_a,+,S3232,F2,shorthand,,,,73v,quędã ,p448_l21_o04_a,s.  in .o. / desinunt sic̃ / & illa,S3232,F4,,,
97,71r,p448_l22_o03,oboedire ,p448_l22_o03_a,PAR ͤ ͬ ͤ ET sequi,S22,F3,normal,,,,73v,oboedire ,p448_l22_o03_a,parere / & requi,S22,F3,,,
98,71r,p448_l24_o01-02,hac ,p448_l24_o01-02_a,ista,S22,F2,normal,,,,73v,de hac ,p448_l24_o01-02_a,: de ista,S22,F3,,,
99,71r,p448_l24_o03,ambiguitate ,p448_l24_o03_a,dubietate,S22,F2,normal,,,,73v,ambiguitate ,p448_l24_o03_a,dubietate,S22,F2,p448_l24_o03_b,S24,F3
100,71r,p448_l24_o06,tẽptabo ,p448_l24_o06_a,conabor nitare,S53,F3,normal,,,,73v,tẽptabo ,p448_l24_o06_a,conabor nitari  .s. de una ꝑfecta et trib; ĩꝑfectis :,S53,F4,p448_l24_o06_b,S53,F5
101,71r,p448_l24_o07,qđ ,p448_l24_o07_a,VERB ͣ,S3232,F2,normal,,,,73v,Qđ ,p448_l24_o07_a,ꝓ quia : s. tẽptabo illud definire generale : qđ inchoatiua ⁊rł,S53,F4,,,
102,71r,p448_l24_o08,inchoatiua ,,,,,,p448_l24_o08_a,S23,F5,73v,inchoatiua  ,,,,,p448_l24_o08_a,S5,F5
103,71r,p448_l27_o04,artigaphis ,p448_l27_o04_a,artiũ scriptorib,S23,F3,normal,,,,73v,ortographis ,p448_l27_o04_a,recti scriptorib artiũ / ł arti,S23,F3,,,
104,71v,p448_l28_o02,hebesco ,p448_l28_o02_a,hebes fieri incipio,S23,F3,normal,,,,73v,Hebesco ,p448_l28_o02_a,hebes eẽ incipio,S23,F3,,,
105,71v,p448_l28_o03,caluesco ,p448_l28_o03_a,caluus FI ͤ ͬ ͥ INCIPI ͦ,S23,F3,shorthand,,,,73v,Caluesco ,p448_l28_o03_a,inc̃ caluere,S23,F3,,,
106,71v,p448_l28_o04,ꝑtimesco ,p448_l28_o04_a,ꝑtimere INCIPI ͦ,S23,F3,shorthand,,,,73v,Pertimesco ,p449_l28_o04_a,inc̃ ꝑtimere,S23,F3,,,
107,71v,p448_l28_o05,euanesco ,p448_l28_o05_a,uanꝰ INCIPI ͦ FI ͤ ͬ ͥ,S23,F3,shorthand,,,,73v,Euanesco. ,p448_l28_o05_a,inc̃ euanere ł uacuare / ł uanus fieri incipio,S23,F3,,,
108,71v,p449_l01_o04,labasco ,p449_l01_o04_a,labere ID EST CAD ͤ ͬ ͤ INCIPI ͦ,S23,F3,normal,p449_l01_o04_b,S54,F4,73v,Labasco ,p449_l01_o04_a,labare ÷ ruere,S23,F3,p449_l01_o04_b,S23,F4
109,71v,p449_l01_o07,purpurasco ,,,,,,p449_l01_o07_a,S22,F3,73v,Purpurasco ,p449_l01_o07_a,purpurare in / cipio,S23,F2,,,
110,71v,p449_l02_o04,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,,73v,Glisco ,p449_l02_o04_a,÷ crescere,S23,F3,p449_l02_o04_b,S5,F5
111,71v,p449_l02_o07,meditatiua ,p449_l02_o07_a,VERB ͣ,S53,F2,shorthand,p449_l02_o07_b,S53,F5,73v,meditatiua. ,p449_l02_o07_a,÷ meditationes sig̃ / s. uerba,S53,F3,,,
112,71v,p449_l02_o10,solũ ,p449_l02_o10_a,?,S22,F2,shorthand,,,,73v,solũ ,p449_l02_o10_a,solũ modo,S22,F2,,,
113,71v,p449_l03_o09,lecturio ,p449_l03_o09_a,legere meditor,S23,F3,normal,,,,73v,Lecturio ,p449_l03_o09_a,medit̃ legere,S23,F3,,,
114,71v,p449_l03_o10,dicturio ,p449_l03_o10_a,DIC ͤ ͬ ͤ VOLO,S23,F3,shorthand,,,,73v,dicturio ,p449_l03_o10_a,÷ dictare,S23,F3,,,
115,71v,p449_l04_o01,micturio ,p449_l04_o01_a,mingere meditor,S23,F3,normal,,,,73v,Micturio ,p449_l04_o01_a,÷ mingere,S23,F3,,,
116,71v,p449_l04_o02,esurio ,,,,,,p449_l04_o02_a,S333,F4,73v,Esurio ,p449_l04_o02_a,÷ esurire,S23,F3,,,
117,71v,p449_l04_o06,similit̃ ,p449_l04_o06_a,ID EST UT inchoatiua & meditatiua,S53,F3,shorthand,,,,73v,similiter ,,,,,p449_l04_o06_a,S53,F5
118,71v,p449_l07_o01,lectito ,p449_l07_o01_a,frequent̃ lego,S23,F3,normal,,,,73v,lectito ,p449_l07_o01_a,ł lecto freq̃t̃ lego,S23,F3,,,
119,71v,p449_l07_o08,merso ,p449_l07_o08_a,A MERG ͦ VERB ͦ,S54,F3,normal,,,,74r,Merso ,p449_l07_o08_a,a m̃go ũbo,S54,F3,,,
120,71v,p449_l07_o10,nexo ,p449_l07_o10_a,frequent̃ necto ID EST ligo,S23,F3,normal,,,,74r,Nexo ,p449_l07_o10_a,nodo ligo freq̃ necto iũgo,S22,F3,,,
121,71v,p449_l09_o04,eodem ,p449_l09_o04_a,SUBAUD ͥ ͭ ͧ ͬ libro,S3232,F3,normal,,,,74r,eodem ,p449_l09_o04_a,s. libro,S3232,F2,,,
122,71v,p449_l15_o08,anomala ,,,,,,p449_l15_o08_a,S53,F4,74r,anomala ,p449_l15_o08_a,illegalia scilic&,S22,F2,,,
123,71v,p449_l17_o01,ea ,p449_l17_o01_a,VERB ͣ,S3232,F2,shorthand,,,,74r,ea ,p449_l17_o01_a,s uerba,S3232,F2,,,
124,71v,p449_l17_o03,arbitror ,p449_l17_o03_a,reor  autumo,S22,F3,normal,,,,74r,arbitror ,p449_l17_o03_a,iudico,S22,F2,,,
125,71v,p449_l17_o05,discerni ,p449_l17_o05_a,distingui,S22,F2,normal,,,,74r,discernũ ,p449_l17_o05_a,distinguo,S22,F2,,,
126,71v,p449_l18_o01,facilior ,p449_l18_o01_a,planior leuior,S22,F3,normal,,,,74r,facilior ,p449_l18_o01_a,planior leuior.,S22,F3,,,
127,71v,p449_l19_o05,finalis ,p449_l19_o05_a,+,S22,F2,shorthand,,,,74r,finales ,p449_l19_o05_a,t̃minales,S22,F2,,,
