,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg
83,p449_l30_o04,03v,taceo,sileo,S22,F2,,,,71v,taceo ,p449_l30_o04_a,sileo,S22,F2,normal,,,
84,p449_l30_o09,03v,maneo,habito,S22,F2,,,,71v,moneo ,p449_l30_o09_a,admoneo,S22,F2,normal,,,
85,p449_l30_o10,03v,stupeo,ãmiror,S22,F2,,,,71v,stupeo ,p449_l30_o10_a,admiror,S22,F2,normal,,,
86,p449_l31_o01,03v,censeo,iudico,S22,F2,,,,71v,censeo ,p449_l31_o01_a,iudico,S22,F2,normal,,,
87,p449_l31_o02,03v,pateo,aperio,S22,F2,,,,71v,pateo ,p449_l31_o02_a,aperio,S22,F2,normal,,,
88,p450_l01_o01,03v,profiteor,affirmo,S22,F2,,,,71v,ꝓfiteor ,p450_l01_o01_a,c̃fiteor,S22,F2,normal,,,
89,p450_l01_o03,03v,intueor,inspicio/uideo  c̃sidero,S22,F3,,,,71v,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,
90,p450_l01_o04,03v,notandũ,excipiunt᷑,S22,F2,,,,71v,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,normal,,,
91,p450_l01_o08,03v,beo,bontifico,S22,F2,,,,71v,beo ,p450_l01_o08_a,beatũ facio,S23,F4,normal,,,
92,p450_l01_o09,03v,creo,facio,S22,F2,,,,71v,creo ,p450_l01_o09_a,c̃do,S22,F2,normal,,,
93,p450_l02_o01,03v,meo,pergo,S22,F2,,,,71v,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,
94,p450_l02_o03,03v,nauseo,fastidio,S22,F2,,,,71v,nauseo ,p450_l02_o03_a,fastidio,S22,F2,normal,,,
95,p450_l02_o04,03v,enucleo,aperio,S22,F2,,,,71v,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,
96,p450_l02_o05,03v,laqueo,ligo,S22,F2,,,,71v,laqueo ,p450_l02_o05_a,irr&io,S22,F2,normal,,,
97,p450_l02_o06,03v,screo,spuo,S22,F2,,,,71v,screo ,p450_l02_o06_a,spuo,S22,F2,normal,,,
98,p450_l05_o06,04r,induo ,uestio,S22,F2,,,,71v,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,
99,p450_l05_o07,04r,arguo,c̃uto eo rep̃hendo,S23,F3,,,,71v,arguo ,p450_l05_o07_a,increpo/ ostento,S22,F3,normal,,,
100,p450_l05_o08,04r,fluo ,dercurro,S22,F2,,,,71v,fluo ,p450_l05_o08_a,mano,S22,F2,normal,,,
101,p450_l05_o09,04r,polluo,sordo ł sordeo,S22,F3,,,,71v,polluo ,p450_l05_o09_a,c̃taminor,S22,F2,normal,,,
102,p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,,71v,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,
103,p450_l06_o01,04r,innuo ,Signũ facio,S23,F3,,,,71v,innuo ,p450_l06_o01_a,nũtũ facio,S23,F4,normal,,,
104,p450_l06_o04,04r,ruo,cado,S22,F2,,,,71v,ruo ,p450_l06_o04_a,cado,S22,F2,normal,,,
105,p450_l06_o06,04r,metuo ,timeo,S22,F2,,,,71v,m&uo ,p450_l06_o06_a,timeo,S22,F2,normal,,,
106,p450_l06_o07,04r,fatuo ,desinio,S22,F2,,,,71v,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,
107,p450_l06_o09,04r,liquor,soluor/ fluor,S22,F3,,,,71v,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,
108,p450_l09_o02,04r,continuo,c̃iungo,S22,F2,,,,71v,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,
109,p450_l09_o03,04r,fluctuo ,uacillo,S22,F2,,,,71v,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,
110,p450_l09_o04,04r,estuo,ferueo,S22,F2,,,,71v,ęstuo ,p450_l09_o04_a,ferueo,S22,F2,normal,,,
111,p450_l09_o06,04r,mutuor,inꝓmudo,S22,F3,,,,71v,mutuor ,p450_l09_o06_a,mutuũ ALTER ͥ? D ͦ?,S23,F4,normal,,,
112,p450_l13_o02,04r,illa ,s̃  uerba,S3232,F2,,,,72r,primę ,p450_l13_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F3,shorthand,p450_l13_o02_b,S53,F4
113,p450_l13_o05,04r,adherentia,s̃ copulata & coïunta uidelicet ꝑ diriuatione,S23,F3,,,,72r,adherentia ,p450_l13_o05_a,seruientia,S22,F2,normal,,,
114,p450_l16_o06,04r,curia,domꝰ,S22,F2,,,,72r,curia ,p450_l16_o06_a,locꝰ ÷ ubi curã antiꝗ exercebant,S23,F4,normal,,,
115,p450_l19_o03,04r,defolio,detrao,S22,F2,,,,72r,defolio ,p450_l19_o03_a,folia carpo,S23,F4,normal,,,
116,p450_l20_o04,04r,delinio,lineã destro ł unguo,S22,F3,,,,72r,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,
117,p450_l20_o06,04r,auxilium,adiutoriũ [adiuta]?,S22,F3,,,,72r,auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,normal,,,
118,p450_l22_o04,04v,spatior,ãplifico,S22,F2,,,,72r,spacior ,p450_l22_o04_a,spaciũ do,S23,F4,normal,,,
119,p450_l24_o04,04v,appositũ,e associatũ,S22,F2,,,,72r,appositũ ,p450_l24_o04_a,adsociatũ,S22,F2,normal,,,
120,p450_l25_o08,04v,hio,aperio,S22,F2,,,,72r,hio ,p450_l25_o08_a,spiro,S22,F2,normal,,,
