,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Lat7499,lemma_Lat7499,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
123,p450_l06_o06,04r,metuo ,timeo,S22,F2,,,,74v,Metuo ,p450_l06_o06_a,ma?,S22,F2,,,
124,p450_l06_o07,04r,fatuo ,desinio,S22,F2,,,,74v,Fatuo ,p450_l06_o07_a,hebeo tardo,S22,F3,p450_l06_o07_b,S5,F5
125,p450_l06_o09,04r,liquor,soluor/ fluor,S22,F3,,,,74v,Liquor ,,,,,p450_l06_o09_a,S5,F5
126,p450_l09_o02,04r,continuo,c̃iungo,S22,F2,,,,74v, Continuo ,p450_l09_o02_a,ꝓtelo/ł continuatĩ q̃ cepi fatio,S23,F4,,,
127,p450_l09_o03,04r,fluctuo ,uacillo,S22,F2,,,,74v,Fluctuo ,p450_l09_o03_a,dubito ł titubo,S22,F3,,,
128,p450_l13_o02,04r,illa ,s̃  uerba,S3232,F2,,,,74v,primę ,p450_l13_o02_a,coniugatioñ,S53,F2,,,
129,p450_l13_o05,04r,adherentia,s̃ copulata & coïunta uidelicet ꝑ diriuatione,S23,F3,,,,74v,adhęrentia ,p450_l13_o05_a,quę nõib; adhęrent/seruientia .s. illa uerba adhęrent nõib qͣ hñt/similia nõa sibi a qͥb; diriuant᷑,S53,F4,p450_l13_o05_b,S53,F5
130,p450_l15_o07,04r,nuntius,legatꝰ,S22,F2,,,,74v,ñtio ,p450_l15_o07_a,narro,S22,F2,,,
131,p450_l16_o03,04r,sotius,comes uicinꝰ,S22,F3,,,,74v,Sotius ,p450_l16_o03_a,cõpar/sodalis/cliens,S22,F3,,,
132,p450_l16_o06,04r,curia,domꝰ,S22,F2,,,,74v,Curia. ,,,,,p450_l16_o06_b,S63,F3
133,p450_l18_o01,04r,Radius,uirga geometricalis,S23,F3,,,,74v,Radius ,p450_l18_o01_a,splendor,S22,F2,,,
134,p450_l18_o07,04r,conciliũ,iudiciũ,S22,F2,,,,74v,Conciliũ ,p450_l18_o07_a,c̃gregatio,S22,F2,,,
135,p450_l19_o03,04r,defolio,detrao,S22,F2,,,,74v,defolio ,p450_l19_o03_a,folia carpo,S23,F3,,,
136,p450_l19_o08,04r,sumnium,uisio,S22,F2,,,,74v,Somnium ,p450_l19_o08_a,ipsa uisio,S23,F3,,,
137,p450_l20_o04,04r,delinio,lineã destro ł unguo,S22,F3,,,,74v,Delinio ,p450_l20_o04_a,blandior,S22,F2,,,
138,p450_l20_o06,04r,auxilium,adiutoriũ [adiuta]?,S22,F3,,,,74v,Auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,,,
139,p450_l21_o01,04r,decorio,e criñabis traho,S23,F4,,,,74v,Coriũ ,p450_l21_o01_a,pellis animaliũ cur?tis,S23,F3,,,
140,p450_l16_o09,04r,fiducia,qͣsi c̃fido,S22,F2,,,,74v,Fiducia ,p450_l16_o09_a,spes,S22,F2,,,
141,p450_l22_o07,04v,deprecio,uilẽ facio,S22,F3,,,,74v,Depretio ,p450_l22_o07_a,uilẽ facio,S23,F3,,,
142,p450_l22_o09,04v,initium,inchoatuꝫ,S22,F2,,,,74v,Initiũ ,p450_l22_o09_a,inchoatio,S22,F2,,,
143,p450_l24_o04,04v,appositũ,e associatũ,S22,F2,,,,74v,appositũ ,p450_l24_o04_a,associatũ,S22,F2,,,
144,p450_l25_o08,04v,hio,aperio,S22,F2,,,,74v,Hio ,p450_l25_o08_a,os aperio ł spiro,S23,F3,,,
145,p450_l26_o01,04v,pio,purgo/mundo,S22,F3,,,,74v,pio ,p450_l26_o01_a,mundo,S22,F2,,,
146,p450_l27_o02,04v,amplio ,dilato,S22,F2,,,,74v,Amplio ,p450_l27_o02_a,ãplifico accumulo/ł congrego,S22,F3,p450_l27_o02_b,S53,F5
147,p451_l02_o05-06,04v,per apocopã ,ꝑ ablacionẽ  ,S22,F3,,,,75r,ꝑ apocopam ,p451_l02_o05-06_a,ꝑ abscisionẽ ultimę litterę,S53,F3,,,
148,p451_l02_o09,04v,lani,Quasi carnifex,S23,F3,,,,75r,lani ,p451_l02_o09_a,ꝓ lanii,S611,F2,,,
149,p451_l04_o10,04v,priuatũ,aliena,S22,F2,,,,75r,priuatũ ,p451_l04_o10_a,fraudatũ/separatum/alienatũ,S22,F3,,,
150,p451_l08_o04,04v,ambio,circumeo/cupio,S22,F3,,,,75r,Ambio ,p451_l08_o04_a,ab am et eo/÷ circumeo/ł concupisco,S25,F3,,,
151,p451_l08_o08,04v,sancio,iudico,S22,F2,,,,75r,Sanctio ,p451_l08_o08_a,definio,S22,F2,p451_l08_o08_b,S5,F5
152,p451_l09_o02,04v,fartio,im pleo {expleo? ex far++ ?},S23,F4,,,,75r,Fartio ,p451_l09_o02_a,repleo ÷ ꝓfli?o,S22,F3,,,
153,p451_l09_o03,04v,expedio,quasi impeditũ,S22,F2,,,,75r,Expedio ,p451_l09_o03_a,expedio ex ex ⁊ pes/÷ absoluo ł conuenio/qͣsi ex pede,S25,F3,,,
154,p451_l09_o06,04v,condio,p̃paro,S22,F2,,,,75r,Condio ,p451_l09_o06_a,salẽ mitto,S23,F3,,,
155,p451_l09_o08,04v,erudio,doceo,S22,F2,,,,75r,Erudio ,p451_l09_o08_a,doceo,S22,F2,p451_l09_o08_b,S54,F4
156,p451_l10_o01,04v,uagio,ploro,S22,F2,,,,75r,Vagio ,p451_l10_o01_a,plango ł ploro/ꝓprie uagire/inanio,S22,F3,,,
157,p451_l10_o02,04v,p̃sagio,futura prędico,S23,F3,,,,75r,Presagio ,p451_l10_o02_a,futura p̃dico,S23,F3,p451_l10_o02_b,S5,F5
158,p451_l10_o04,04v,sepelio,sacro /c̃do,S22,F3,,,,75r,Sepelio ,p451_l10_o04_a,infodio,S22,F2,,,
159,p451_l10_o05,04v,stabilio ,constituo/c̃firmo,S22,F3,,,,75r,Stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,,,
160,p451_l10_o09,04v,redimio,decoro cõpono orno,S22,F3,,,,75r,Redimio ,p451_l10_o09_a,orno corono como edifico/ et inde redimicula ÷ or/namenta,S24,F4,,,
161,p451_l10_o10,04v,exinanio,exuacuo,S22,F2,,,,75r,Exinanio ,p451_l10_o10_a,euacuo dem̃tior,S22,F3,,,
162,p451_l11_o02,04v,insanio,furio,S22,F2,,,,75r,Lenio ,p451_l11_o02_a,Blandior,S22,F2,,,
163,p451_l11_o04,04v,insignio,orno/redimio,S22,F3,,,,75r,Insignio ,p451_l11_o04_a,nobilio,S22,F2,p451_l11_o04_b,S5,F5
164,p451_l11_o09,05r,Grunnio,murmuro,S22,F2,,,,75r,Munio ,p451_l11_o09_a,firmo/defendo,S22,F3,,,
165,p451_l11_o10,05r,munio,defendo,S22,F2,,,,75r,Punio ,p451_l11_o10_a,dãpno/ł ulciscor,S22,F3,p451_l11_o10_b,S54,F4
