,lemma_id,folio,lemma,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
118,p459_l06_o02,12r,p̃cipito,÷ p̃cipitium patens,S54,F3,,,,p̃cipito ab alto deico,S23,F4
119,p459_l07_o07,12r,aestuo,ebullio ł tardeo,S22,F3,,,,ab estus. eftuo,S54,F3
120,p459_l07_o10,12r,fluctuo,titubo,S22,F2,,,,fluctuo uacillo. indiuersa rapior,S4181,F4
121,p459_l13_o05,12r,nutus,potestas,S22,F2,,,,Notꝰ a nosco,S54,F3
122,p459_l13_o03,12r,nisus,conamen,S22,F2,,,,Nisus conam̃ cestam̃,S22,F3
123,p461_l10_o04,14r,humo,sepelio/cooperio,S22,F3,,,,Humo humi trado ł sepelio.,S22,F3
124,p461_l17_o06,14r,ingurgito,in mergo,S22,F3,,,,Ingurgito. p̃cipitẽdo,S22,F2
125,p461_l19_o07,14r,procrastino,ꝓduco in cras,S54,F4,,,,ꝑendie.  ꝓ̃cras. uel p̃tertium diem ł antediem.,S23,F3
126,p461_l20_o02,14r,conperendino,ꝑmaneο ł tardo.,S22,F3,,,,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,S23,F4
127,p462_l06_o07,14v,uello,rũpo,S22,F2,,,,Vello moueo,S22,F2
128,p462_l07_o05,14v,nutrico,alo,S22,F2,,,,Nt̃co iurgo,S22,F2
129,p462_l26_o06,15v,calleo,astute ago,S23,F3,,,,calleo cogitaui astute didici cõperi,S23,F4
130,p462_l28_o10,15v,luo,penas soluo,S23,F3,,,,luo penã soluo,S23,F4
131,p463_l08_o06,16r,bulla,,,,bulla dr̃ q: sit a uento/ł ornam̃tũ cingulorum,S23,F4,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,S23,F4
132,p463_l09_o08,16r,largior,tribuo,S22,F2,,,,Largior g{r}atiã p̃sto,S23,F4
133,p463_l25_o02,16v,meta,limes,S22,F2,,,,M&a finis,S22,F2
134,p463_l25_o03,16v,metor,t̃mino finio,S22,F3,,,,termino finio,S22,F2
135,p463_l25_o09,16v,metior,mensuro,S22,F2,,,,M&ior constituo castra designo,S23,F4
136,p465_l25_o11,18r,polliceor,ꝓmitto,S22,F2,,,,ꝓmitto polliceor. ,S22,F2
137,p465_l28_o07,18r,amitior,tego,S22,F2,,,,Amicior . Vestio circũdo induo togo,S22,F3
138,p466_l05_o04,18v,uador,error,S22,F2,,,,Vador. ꝓmitto. causã ago. fidẽ fatio,S23,F4
139,p466_l21_o09,19r,paciscor,pactũ facio,S23,F4,,,,Pasciscor pacẽ redintegror,S23,F4
140,p466_l22_o02,19r,adipiscor,inueniscor,S22,F2,,,,Adipiscor conor / Nasiciscor Adipiscor Assequor,S22,F3
141,p468_l32_o04,20v,dico,dono,S22,F2,,,,Dico dicas :consecro uł dono / dico dicis : Narro,S23,F3
