,lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_form_VLO41,gloss_form_Bamberg,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg
188,p458_l11_o11,S22,S22,F2,F2,peragro,incedo,ꝑagro ,ꝑlustro
189,p458_l14_o01,S22,S22,F2,F2,saturo,satio,Saturo ,satio
190,p458_l18_o01,S22,S22,F2,F2,ordino,dispono,Ordino ,+
191,p458_l21_o05,S22,S22,F2,F2,uber,habundans,Vber ,copiosus
192,p458_l21_o06,S22,S22,F2,F2,ubero, abundo,exubero ,abundo
193,p458_l21_o09,S22,S22,F2,F2,agero, c̃grego,aggero ,accumulo
194,p458_l23_o09,S22,S22,F2,F2,robur,fortitudo,Robur ,uirtus
195,p458_l23_o10,S22,S22,F2,F2,roboro,c̃firmo,roboro ,firmo
196,p458_l29_o09,S22,S22,F2,F2,testor,confirmo,detestor ,abominor
197,p459_l02_o05,S22,S22,F2,F2,uindex,ultor,Vindex ,ultor
198,p459_l04_o09,S22,S22,F2,F2,pernocto,peruigilo,ꝑnocto ,ꝑuigilo
199,p459_l05_o01,S22,S22,F2,F2,mercs,lucrũ,Merx ,mercimoniũ
200,p459_l05_o09,S22,S22,F2,F2,p̃ceps,impello ,Pręceps ,p̃cipiciũ
201,p459_l13_o05,S22,S22,F2,F2,nutus,potestas,Notus ,notam̃
202,p459_l13_o03,S22,S22,F2,F2,nisus,conamen,nisus ,conam̃
203,p459_l19_o09,S23,S23,F3,F3,scriba,doctor ñ officiale,scriba ,lege peritꝰ
204,p459_l24_o05,S22,S22,F2,F2,parcus,abstinens,parcus ,abstinens
205,p459_l31_o07,S22,S22,F2,F2,formido,timor,Formido ,paueo
206,p460_l14_o09,S22,S22,F2,F2,superuacuo,exsuperfluo,suꝑuacuo ,suꝑfluo
207,p461_l11_o04,S22,S22,F2,F2,cacumino,exacuo,cacumino ,erigo
208,p461_l17_o01,S22,S22,F2,F2,scortũ,meretrix,Scortum ,stuprũ
209,p461_l18_o06,S22,S22,F2,F2,ingurgitasses,p̃cipitasses,ingurgitasses ,immersisses
210,p462_l06_o07,S22,S22,F2,F2,uello,rũpo,uello ,carpo
211,p462_l10_o05,S22,S22,F2,F2,opitulor,auxilior,opitulor ,adiuuo
212,p462_l10_o06,S22,S22,F2,F2,presto,accõmodo,Pręsto ,dono
213,p462_l10_o07,S22,S22,F2,F2,prestolor,expecto,p̃stolor ,expecto
214,p462_l11_o09,S22,S22,F2,F2,litigo,contendo,Mitigo ,placo
215,p462_l15_o09,S22,S22,F3,F3,penetro,funditꝰ intro,penetro ,subintro +++
216,p462_l16_o01,S22,S22,F2,F2,temere,p̃sũtiose,temere ,p̃sumptiose
217,p462_l17_o03,S22,S22,F2,F2,diutius,longius,diutius ,longius
218,p462_l22_o01,S22,S22,F2,F2,recolligere,codunare,recolere ,+
219,p462_l26_o01,S22,S22,F2,F2,canus,caniger,canus ,+
220,p462_l26_o04,S22,S22,F2,F2,calles,semita,Calles ,uia
221,p462_l27_o04,S22,S22,F2,F2,census,uectigal,Census ,facultas
222,p462_l29_o11,S22,S22,F2,F2,fluctuo,titubo,Fluctuo ,titubo
223,p463_l08_o07,S22,S22,F2,F2,ebuilio,ferueo,Ebullo ,scaturio
224,p463_l09_o08,S22,S22,F2,F2,largior,tribuo,largior ,tribuo
225,p463_l11_o03,S22,S22,F2,F2,seuus,aceruus,Sęuus ,durus
226,p463_l11_o04,S22,S22,F2,F2,seuio,furio,sęuio ,grassor
227,p463_l15_o03,S22,S22,F2,F2,insignis,nobilis,insignis ,nobilis
228,p463_l25_o02,S22,S22,F2,F2,meta,limes,m&a ,finis
229,p463_l25_o09,S22,S22,F2,F2,metior,mensuro,M&ior ,m̃suro
230,p465_l25_o11,S22,S22,F2,F2,polliceor,ꝓmitto,polliceor ,spondeo
231,p465_l28_o07,S22,S22,F2,F2,amitior,tego,Amicior ,circũdo
232,p466_l05_o06,S22,S22,F2,F2,suffragor,auxilior,suffragor ,auxilior
233,p466_l06_o03,S22,S22,F2,F2,rimor,ꝑscrutor,Rimor ,inuestigo
234,p466_l06_o08,S22,S22,F2,F2,miror,stupeo,Moror ,+
235,p466_l08_o03,S22,S22,F2,F2,labor,cador,Labor ,cado
236,p466_l21_o09,S23,S23,F4,F4,paciscor,pactũ facio,Paciscor ,pacẽ facio
237,p466_l22_o02,S22,S22,F2,F2,adipiscor,inueniscor,adipiscor ,consequor
238,p468_l15_o10,S22,S22,F2,F2,neco,interficio,neco ,int̃ficio
239,p470_l09_o07,S22,S22,F2,F2,glisco,cresco,Glisco ,cresco
240,p471_l03_o08,S22,S22,F2,F2,foedus,turpis,Fedus ,turpis
241,p471_l26_o01,S22,S22,F2,F2,trudo,impello ,Trudo ,indudo
