,lemma_id,gloss_type_VLO41,gloss_type_Lat7499,gloss_form_VLO41,gloss_form_Lat7499,lemma_VLO41,gloss_VLO41,lemma_Lat7499,gloss_Lat7499
191,p458_l26_o08,S23,S23,F4,F4,arieto,more arietis ago,Arieto ,ꝯiuros destruo/ł gub̶no
192,p458_l28_o10,S22,S22,F3,F3,turpo,fodo deformo,Turpo ,fedo de/formo
193,p458_l29_o02,S22,S22,F2,F2,tenuis,gracilis,Tenuis ,macer
194,p458_l29_o05,S22,S22,F3,F3,tristis,Dolens / mestus,Tristis ,Mestꝰ/męrens
195,p458_l30_o09,S23,S23,F3,F3,roro,inrigo /ł irore ꝑfundo,",Roro ",rorẽ emitto
196,p459_l02_o01,S22,S22,F3,F3,nex,mors int̃emptio,Nex ,mors supplicium
197,p459_l02_o07,S22,S22,F3,F3,uindico,punio /ulciscor,Vindico ,ulciscor/defendo
198,p459_l05_o09,S22,S22,F2,F2,p̃ceps,impello ,Pręceps ,ꝓnꝰ
199,p459_l07_o07,S22,S22,F3,F3,aestuo,ebullio ł tardeo,ęstuo ,ardeo caleo/ferueo
200,p459_l08_o05,S22,S22,F2,F2,gelo,constringo,Gelo ,frigeo
201,p459_l19_o09,S23,S23,F3,F3,scriba,doctor ñ officiale,Scriba ,lege peritꝰ
202,p459_l25_o04,S22,S22,F2,F2,pandus,manifestus,Pandus ,aꝑtꝰ patulus
203,p459_l31_o07,S22,S22,F2,F2,formido,timor,Formido ,paueo
204,p459_l35_o10,S22,S22,F2,F2,tulisse,facta eẽ,tulisse ,diriuasse
205,p460_l07_o01,S22,S22,F2,F2,indesinenter,indistant̃,indesinenter  ,incessanter
206,p460_l14_o09,S22,S22,F2,F2,superuacuo,exsuperfluo,suꝑuacuo ,suꝑfluo
207,p461_l17_o02,S22,S22,F2,F2,scortor,mechor,scortor ,Meretricor
208,p461_l17_o06,S22,S22,F3,F3,ingurgito,in mergo,ingurgito ,deglutino absorbeo
209,p461_l18_o06,S22,S22,F2,F2,ingurgitasses,p̃cipitasses,ingurgitasses ,immersisses
210,p461_l23_o03,S22,S22,F2,F2,fore,esse,forte ,euentu
211,p462_l06_o01,S22,S22,F2,F2,incrementa,aumenta,incrementa ,aucmenta
212,p462_l10_o05,S22,S22,F2,F2,opitulor,auxilior,opitulor ,Adiuuo
213,p462_l11_o09,S22,S22,F2,F2,litigo,contendo,Litigo. ,c̃tendo
214,p462_l13_o03,S22,S22,F2,F2,quia,qđ,quę ,
215,p462_l16_o01,S22,S22,F2,F2,temere,p̃sũtiose,temere ,p̃sũptiose
216,p462_l17_o03,S22,S22,F2,F2,diutius,longius,diutius ,longius
217,p462_l26_o03,S22,S22,F2,F2,caneo,senesco,caneo ,albeo
218,p462_l26_o04,S22,S22,F2,F2,calles,semita,calles ,uia
219,p462_l28_o06,S22,S22,F3,F3,imbuo,instruo doceo,imbuo ,ostendo ł rep̃hendo
220,p462_l28_o07,S22,S22,F2,F2,acuo,acumino,acuo ,increpo
221,p462_l28_o09,S22,S22,F2,F2,arguo,increpo,arguo ,soluo
222,p462_l29_o11,S22,S22,F2,F2,fluctuo,titubo,Fluctuo ,titubo
223,p462_l32_o10,S23,S23,F3,F3,strues,congeries lignorũ,strues ,c̃geries lignoꝵ
224,p463_l09_o08,S22,S22,F2,F2,largior,tribuo,largio ,tribuo
225,p463_l15_o03,S22,S22,F2,F2,insignis,nobilis,in̶asignis ,nobilis
226,p463_l25_o03,S22,S22,F3,F3,metor,t̃mino finio,Metor ,figo t̃mino
227,p463_l25_o09,S22,S22,F2,F2,metior,mensuro,metior ,÷ mensuro
228,p464_l13_o09,S22,S22,F2,F2,eger,infirmus,ager ,infirmꝰ
229,p466_l06_o03,S22,S22,F2,F2,rimor,ꝑscrutor,Rimor ,inqͥro
230,p466_l21_o09,S23,S23,F4,F4,paciscor,pactũ facio,pacisor ,pacẽ fatio
231,p470_l09_o07,S22,S22,F2,F2,glisco,cresco,Glisco ,cresco
