lemma_id,gloss,gloss_type,gloss_form
p468_l19_o03,Indico fieri iubeo,S23,F3
p468_l19_o04,Abidico. Exheredo Abicio Respuo,S22,F3
p468_l26_o05,Loco. stabilo colloco. statuo ł mercedẽ contduco,S23,F4
p468_l32_o04,Dico dicas :consecro uł dono / dico dicis : Narro,S23,F3
p468_l34_o08,edico cis p̃dico p̃nuntio ł p̃cipio,S22,F3
p468_l34_o10,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4
p469_l20_o03,Abduo Abstraho ad rẽ inhonestã,S23,F4
p469_l20_o05,Subduco . Aufero subtraho,S22,F3
p469_l29_o10,Sulco. seco. duudo. sodio ł transeo,S22,F3
p469_l31_o07,Obtrunco ꝓfligo interi modo leo fundo conpesco. cohibeo coherceo refreno,S22,F3
p470_l17_o02,Rodo. circũeo.,S22,F2
p470_l21_o03,Ludificor deludo fallor? decipio frustror,S22,F3
p471_l06_o01,Delapido Erogo ꝓdico  ꝑdo exhaurio consumo superuacuũ .Expendo Inuado,S22,F3
p471_l15_o07,Cedo transigo conficio,S22,F3
p471_l17_o02,Rodo mordeo  ,S22,F2
p476_l11_o02,Ringor Indignor.,S22,F2
p480_l15_o11,Aucupor affecto. lnsdior Adipiscor conor.,S22,F3
p481_l09_o03,lacero ł iterimo,S22,F2
p485_l13_o03,Vexo Mulco uł affligo.,S22,F3
p487_l05_o04,Index. demonfirator. ꝓditor. dictus ab indicando,S22,F3
