Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
(sdr) etiam in diriuationibus,,,(sdr) hoc ẽ in diriuatiuis nominib;,,,8v,24,,Β,Τ2,P1 left,F4,S53,,,
mutatione,,,,ꝑẽuersionẽ,peruersione,8v,25,,Β,Τ2,P0,F2,S22,,,
orac[ulũ],oraculum,,,responsũ diuinũ,responsum diuinum,9r,1,a,Β,Τ2,P0,F3,S22,,,
ꝓpugnanculũ,propugnaculum,,,torris ubi pugnatiũ,torris ubi pugnantium,9r,1,b,A,Τ1,P0,F3,S23,,,
fundamentum,,,,s̃ stabilitas dοmoru,scilicet stabilitas domorum,9r,2,a,Β,Τ2,P0,F3,S23,,,
sacram̃tũ,sacramentum,,,secretũ ł ocrultũ ,secretum uel occultum ,9r,2,b,A,Τ1,P0,F3,S22,,,
sacram̃tũ,,,,⁊ iuramentũ,et iuramentum,9r,2,c,Β,Τ2,P0,F2,S22,,,
munimentũ,,,,ꝓtectio ł tutela ,protectio uel tutela,9r,3,a,A,Τ1,P0,F3,S22,,,
munimentũ,,,,scutũ,scutum,9r,3,b,Β,Τ2,P0,F2,S22,,"*scutum = bouclier, égide",
alimentũ,,,,cib; qualiscũq; ,cibus qualiscumque,9r,3,c,A,Τ1,P0,F3,S222(hyponyme expliqué par un hyperonyme),,,
alimentũ,,,,pabulũ,pabulum,9r,3,d,Β,Τ2,P0,,S23,,,
incrementũ,,,,aum̃tũ increm̃tũ,aumentum incrementum,9r,3,e,A,Τ1,P0,F3,S22,,,
numen ,,,,potestas ,,9r,4,a,A,Τ1,P0,F3,S22,,,
numen ,,,,diuina,,9r,4,b,Β,Τ2,P0,,,,,
solamen,,,,solatiũ ,solatium ,9r,4,c,A,Τ1,P0,F2,S22,,,
solamen,,,,auxiliũ,,9r,4,d,Β,Τ2,P0,,,,,
foramen,,,,tenebracio aliqͣ,tenebracio aliqua,9r,4,e,Β,Τ2,P0,F2,S22,,,
purgamen,,,,purificatio,,9r,4,f,A,Τ1,P0,F2,S22,,,
fl[amen],,,,[sa]cerdotũ iouis significat,sacerdotum iouis signis,9r,4,g,A,Τ1,P1 right,F4,S554(mythologique ou littérature latine),,,
liquamen,,,,res humida ◌͛ humida res,,9r,5,a,Β,Τ2,P0,F3,S22,,,
certamen,,,,pugnam̃ ,pugnamen,9r,5,b,Β,Τ2,P0,F2,S22,,,
agmen,,,,pugna,,9r,5,c,Β,Τ2,P0,F2,S22,,,
fragmen,,,,mole,,9r,5,d,Β,Τ2,P0,F2,S22,,,
linimen,,,,aliqua unctura,,9r,6,a,Β,Τ2,P0,F3,S22,,,
flumen,,,,aqͣ currens,aqua currens,9r,6,b,Β,Τ2,P0,F3,S23,,,
amabilis,,,,dignꝰ amore,dignus amore,9r,7,a,A,Τ1,P0,F3,S23,,,
laudabilis,,,,dignꝰ laude,dignus laude,9r,7,b,A,Τ1,P0,F3,S23,,,
mobilis,,,,ꝗ motũ patitur,qui motum patitur,9r,8,,A,Τ1,P0,F3,S23,,,
in tius,,,,i,in itius,9r,10,,A,Τ1,P0,F2,S611,,,
probatio,,,,exa,,9r,14,a,Β,Τ2,P0,F2,S22,,,
