Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
Punio,,,,uindico,,5r,4,,A,T1,P0,F2,S22,,,
Sepio,,,,circũdo,circumdo,5r,5,,B,T2,P0,F2,S22,,,Sepior circũdo uallo
Sopio,,,,dormio,,5r,6,,A,T1,P0,F2,S22,,,Sopio. Dormio
Ferio,,,,ꝑcucio,percucio,5r,7,,C,T3,P0,F2,S22,,, Exsicco ł ferio
Aperio,,,,manifesto,,5r,9,,A,T1,P0,F2,S22,,,
Garrio,,,,murmuro,,5r,10,,C,T3,P0,F2,S22,,,Garrio. murmuro.perstrepo
Ligurrio,,,,lango ł gusto.,lango uel gusto,5r,11,,A,T1,P0,F2,S22,,, ligurrio . deglutio
Esurio,,,,quasi edere desidero,,5r,12,,C,T3,P0,F3,S22,,,
Prurio,,,,saniem emitte iđ scabiem,saniem emitte id est scabiem,5r,15,,A,T1,P0,F4,S23,,,Prurio.scalpo ł uror
Parturio,,,,parere,,5r,16,a,B,T2,P0,F2,S54,,"*Macr. exc. 5.625.27, 649.28 nam prima dicitur -a, quae significat meditationem eius rei quae imminet et cuius speratur effectus, ut ‘parturio’, quod est parere meditor, ‘esurio’ esse meditor; sic ‘amaturio lecturio’ et similia.",
Parturio,,,,meditor,,5r,16,b,C,T3,P0,F2,S333,,,
Inretio,,,,inligo,,5r,18,,C,T3,P0,F2,S22,,,
gestio.,,,,exulto gaudeo,,5r,20,,A,T1,P0,F2,S22,,,
congationis,,,,iu,coniugationis,5r,22,,m0,P0,P0,F1,S611,,,
effugio,,,,effundo,,5r,22,,C,T3,P0,F2,S22,,,
seruio,,,,oboedio,,5r,23,,B,T2,P0,F2,S22,,,
blandior,,,,lenior,,5r,25,,B,T2,P0,F2,S22,,,Lacto . decipio. blandior .
ordior,,,,incipit ,,5r,26,,A,T1,P0,F2,S22,,,
sortior,,,,ĩ accipio, id est accipio,5r,28,,C,Τ2,P0,F2,S22,,,
Partior,,,,Diuido & secor,,5r,29,,C,Τ2,P0,F2,S22,,,
om̃a,omnia,,,s̃ uerba quarte coniugationis,scilicet uerba quartae coniugationis,5r,30,,A,T1,P0,F3,S53,,,
carent ,,,,amittent,,5r,31,,C,Τ3,P0,F2,S22,,,
spetiem,,,,id̃ ÷ formã,id est formam,5r,35,a,A,T1,P0,F2,S22,,,
dictorum,,,,s̃ uerborum,,5r,35,b,A,T1,P0,F2,S22,,,
tertiam,,,,correptã,correptam,5r,37,,m0,T0,P0,F2,S611,,,
alia,,,,s̃ uerba ,sunt uerba,5r,38,a,A,T1,P0,F2,S53,,,
et alia,,,,*eorũ ũ bo ro,,5r,38,b,C,T3,P1 right,F3,S53,,,
ut latio,,,,÷,ut est latio,5r,39,,C,T3,P0,F1,S611,,,
elitio,,,,expͥmo ,exprimo,5r,41,,A,T1,P0,F2,S22,,,
elitio,,,,seduco,,5r,41,,C,T3,P0,F2,S22,,,
Inlitio,,,,seduco ł ereo,seduco uel erro,5r,42,,A,T1,P0,F2,S22,,*égarer,
pellitio,,,,in fraudũ duco.,in fraudum duco,5r,43,,A,T1,P0,F3,S23,,,
interfitio,,,,occido,,5r,44,,C,T3,P0,F2,S22,,,
offitio,,,,noceo,,5r,45,,A,T1,P0,F2,S22,,,
capio,,,,conp̃hendo,conprehendo,5r,46,,B,Τ2,P0,F2,S22,,,
sapio,,,,scio,,5r,47,,C,Τ3,P0,F2,S22,,,
Fodio,,,,ꝑforo,perforo,5r,50,,C,Τ3,P0,F2,S22,,,fodio. ł colligo
fugio,,,,ꝓficiscor.,proficiscor,5r,51,,C,Τ3,P0,F2,S22,,,
quatio,,,,tremo,,5r,53,,A,T1,P0,F2,S22,,"*1 secouer, agiter, ébranler, faire trembler, faire vibrer
2 battre, taper, frapper, atteindre
3 pousser loin, chasser, éloigner
4 abattre, fracasser, démolir, mettre bas, ruiner
5 (au figuré) troubler, bouleverser, étourdir",
Patior,,,,suffero sustineo,,5r,56,,A,T1,P0,F2,S22,,,
orior,,,,nascor,nascor,5r,58,,A,T1,P0,F2,S22,,,
potior,,,,utor,,5r,59,,C,T3,P0,F2,S22,,,Potior fruor
plerũq; ,plerumque,,,ꝗ añ sẽper,,5r,69,,C,T3,P0,F2,S22,,,
quęquasi spetiales,,,,s forma,scilicet forma,5r,75,,C,T3,P0,F2,S53,,,
que,,,,uerba,,5v,5,,A,T1,P0,F2,S53,,,
ambiguitate,,,,dubietate ,,5v,6,a,A,T1,P0,F2,S22,,,
si possĩ,si possim,,,si ualeo,,5v,6,b,B,T2,P0,F3,S22,,,
disserere,,,,manifestare,,5v,6,c,A,T1,P0,F2,S22,,,
rerũ ,rerum,,,substantiarũ,substantiarum,5v,7,a,B,T2,P0,F2,S22,,,
uber/tati,,,,copie,,5v,7,b,B,T2,P0,F2,S22,,,
multa,,,,S̃ uerba,scilicet uerba,5v,9,,B,T2,P0,F2,S53,,,
pene,,,,(++)pe,Prope ? *à peu près,5v,10,a,A,T1,P0,F2,S22,,,
genuit,,,,S̃ uerba,scilicet uerba,5v,10,b,A,T1,P0,F2,S53,,,
dequib;,de quibus,,,S̃ uerbiis,Scilicet uerbiis,5v,11,,m0,T0,P0,F2,S53,,,
motu ,,,,ĩ modo,id est modo,5v,13,a,A,T1,P0,F2,?,,,
eas ipsas,,,,terminationes,,5v,13,b,B,T2,P0,F2,S53,,,
traduxit,,,,constituit,,5v,15,a,,,P0,F2,S22,,,
quas ,,,,s ipsa natura,scilicet ipsa natura ,5v,15,b,C,T3,P0,F3,S53,,,
qui,,,,s t̃rminatnes,scilicet terminationes,5v,15,c,C,T3,P0,F2,S53,,,
perceperit,,,,intellexerit,,5v,15,d,B,T2,P0,F2,S22,,,
facilius,,,,leuius,,5v,15,e,B,T2,P0,F2,S22,,,
adherentia ,,,,ĩ coherentia,id est ncoherentia,5v,16,,C,T3,P0,F2,S22,,,
origines,,,,principia exordia,,5v,17,,B,T2,P0,F2,S22,,,
deducuntur;,,,,transformantur,,5v,18,,,,P0,F2,S22,,,
eorũ ,eorum,,,fontiũ,fontium,5v,21,a,B,T2,P0,F2,S53,,,
clausulae tam generales ,,,[termi]natio nominũ / uaria pͥma ꝑsona/in por in bor,,,5v,21,b,A,T1,P1 left,F4,S53,,,
distinctę;,,,,diuise separate,diuisae separatae,5v,22,,B,T2,P0,F2,S22,,,
aut̃ ,autem,,,ł enĩ,uel enim,5v,23,,B,T2,P0,F2,S22,,,
uenientes ,,,,diriuantes,,5v,24,a,B,T2,P0,F2,S22,,,
termitiones enĩ he sunt;,enim hae sunt,,,s diriuatione generaliũ,scilicet diriuatione generalium,5v,24,b,C,T3,P0,F3,S53,,,
obseruando,,,,custodiendo,,6r,3,,B,T2,P0,F2,S22,,,
ante o.,,,,s uerba,scilicet uerba,6r,4,a,C,T3,P0,F2,S53,,,
lnuenta,,,,&reperta,et reperta,6r,4,b,C,T3,P0,F2,S22,,,
ante ium ,,,,s̃ seruat᷑ c̃sonans,seruatur consonans,6r,6,a,C,T3,P0,F3,S53,,,
litigo,,,,rexo,,6r,6,b,A,T1,P0,F2,S22,,,
litigium,,,,iurgium,,6r,6,c,A,T1,P0,F2,S22,,,
mercor,,,,[effacé] emtores,,6r,6,d,C,T3,P1,F2,S22,,,
commertium.,,,,mercimoniũ,mercimonium,6r,7,a,,,P0,F2,S22,,,
obsono ,,,,contradico,,6r,7,b,A,T1,P0,F2,S22,,,
obsonium,,,,contradictio ł detractio,contradictio uel detractio,6r,7,c,A,T1,P0,F2,S22,,,
uestigo ,,,,porscrutor inquaero,,6r,7,d,A,T1,P0,F2,S22,,,
uestigium,,,,inditiũ pedis,inditium pedis,6r,7,e,A,T1,P0,F3,S23,,,
edifico,,,,ędẽ fatio,aedem facio,6r,8,a,A,T1,P0,F3,S23,,,
edifico,,,,c̃seruo,conseruo,6r,8,b,,,P0,F2,S22,,,
sacrifico,,,,libo,,6r,8,c,A,T1,P0,F2,S22,,,libo sacrifico  uel deglisto
sacrifico,,,,aliqͣͧ  oblatio,aliqua oblatio,6r,8,d,,,P0,F3,S22,,*Il n’avait pas de place au dessus du sacrificium auquel ça porte,
sacrificium,,,,sacrũ factũ,sacrum factum,6r,8,e,A,T1,P0,F3,S54,,,
participo,,,,mancipo cõm(unico),mancipo communico,6r,8,f,A,T1,P0,F2,S22,,,Participo . inꝑcior. ł comunico. Adiuuo ł consortior
mancipium,,,manu++++abeo,,,6r,9,,A,T1,P1 right,F3,S23,,,
mancipium,,,,manu captũ,manu captum,6r,9,a,C,T3,P0,F2,S22,,,Mancipo. manu capta trado  ł in seruitutẽ redigo  ł manifesto
inpero,,,,precipio,,6r,9,b,C,T3,P0,F2,S22,,,
inperium,,,,p̃ceptũ,preceptum,6r,9,c,C,T3,P0,F2,S22,,,
conuiuium,,,,a cummunione uescenciũ̃/nomen habens,,6r,10,a,m0,T0,P0,,S54,,*cenaculum,
prandeo,,,,comedo,,6r,10,b,C,T3,P0,F2,S22,,,
prandeo,,,,p̃sens sedeo,,6r,10,,A,T1,P1 right,F3,S54,,,
gaudeo,,,,letor,,6r,11,a,,,P0,F2,S22,,,
presideo,,,,auxilio,,6r,11,b,,,P0,F2,S22,,,P̃sideo. ꝓtego subleuo opitulor. suffragor ł ꝓpugno
remedium,,,,medela,,6r,12,a,,,P0,F2,S22,,,
conubium,,,,copulatio uiri et femine,,6r,12,b,A,T1,P0,F3,S23,,,
ꝑ iurium,periurium,,,adiutorium,,6r,12,c,A,T1,P1 right,F2,S22,,,
fastidio,,,,nauseo,,6r,13,a,3,,P0,F2,S22,,,
consulo,,,consulo te int̃rogo/consulo tibi ĩꝓuideo,,consulo te interrogo/ consulo tibi prouideo,6r,13,,A,T1,P1 right,F4,S41,,* φροντίζω προνοῶ,
consilum.,,,,ac̃sulendo dictũ.,a consulendo dictum,6r,14,a,C,T3,P0,F3,S54,,,
obsequor,,,,obedio pareo,,6r,14,b,A,T1,P0,F2,S22,,,Obsequor.famulor
domunculo,,,,domũ facio,domum facio,6r,15,a,A,T1,P0,F3,S23,,,
domici/lium,,,,parua casida,,6r,15,b,3,,P1 right,F3,S23,,,
solsto ,,,,solstat,,6r,16,a,3,,P0,F2,S331,,,
solsticium ,,,,Solis stadiũ,Solis *statium,6r,16,b,C,T3,P0,F3,S54,,,
iusto ,,,,adsto ,,6r,16,c,A,T1,P0,F2,S22,,,iusto. publice lugeo;
iusto ,,,,lucto,,6r,16,d,C,T3,,,,,,
iusticium ,,,,luctus publicus,,6r,16,e,A,T1,P0,F3,S23,,,Iustitum :publicus luctus ł puiblici iuris silentũ
cerno ,,,,sedes,,6r,16,f,3,,P0,F2,?,,,
sili/cernium,,,,senes incuru,senes incuruus ?,6r,16,g,3,,P0,F3,S23,,,
sili/cernium,,,,Infirmitas senũ,infirmitas senum,6r,16,h,B,T3,P1 right,F3,S23,,,
Item ante iculum;,,,,s̃ c̃seruatꝰ consonans positionis,scilicet conseruat consonans positionis,6r,17,a,A,T1,P0,F4,S53,,,
ridiculum,,,,Fraus siue,,6r,17,c,3,,P0,F2,S22,,,
ridiculum,,,,irrisio,,6r,17,d,A,T1,P0,F2,S22,,,
perpendo ,,,,Libro ,,6r,18,a,AB,,P0,F2,S22,,,ꝑpendo. m&ior ł estimo. ł libro ł diligent̃ uideo;
perpendo ,,,,coequo,,6r,18,b,C,T3,P0,F2,S22,,,
perpendo ,,,ꝑpendiculũ dt᷑ ++ /coequant᷑ maceria,,"perpendiculum dicitur ++, coequantur maceria",6r,18,,A,T1,P1 right,F4,S23,,,
euerso,,,,destruo,,6r,18,b,C,T3,P0,F2,S22,,,
euersiculum,,,,euersio,,6r,18,c,AB,,P0,F2,S22,,,
deuerto ,,,,qͣsi at euerto,quasi at euerto,6r,19,a,C,T3,P0,F3,S221,,,
deuerticulum ,,,,quasi ipsa declinatio,quasi ipsa declinatio,6r,19,b,C,T3,P0,F3,S53,,*quasi rei uentum,
ueo,,,,a ueando,,6r,19,c,C,T3,P0,F3,S54,,,
uehiculum,,,,potest di plautrũ ,potest di plaustrum,6r,19,d,A,T1,P0,F4,S22,,,
Pereo,,,,obeo [d?++or ?],,6r,19,e,AB,,P0,F2,S22,,,
periculum,,,,discrim̃.,discrimen,6r,20,a,C,T3,P0,F2,S22,,,
ferculum,,,,Uas ubi cibu ferunt̃,,6r,20,b,A,T1,P0,F4,S23,,,ferculũ discus
uincio,,,,constringo necto  ,constringo necto,6r,20,c,AB,,P0 ,F3,S22,,,
uincio,,,,uinco supero,,6r,20,d,B,T2,P1,F2,S22,,,
cingulum,,,,a cingendo,,6r,21,a,AB,,P0,F3,S54,,,
iaculum,,,,nisi lũ s̃ nomina,nidi lum sunt nomina,6r,21,b,AB,,P0,F4,S53,,,
ĩ .i. ,in i,,,s̃ que seruant consonantẽ uerbi,sunt quae seruant consonantem uerbi,6r,23,a,AB,,P0,F4,S53,,,
tegimen,,,,gubernatio regis,gubernatio regis,6r,23,b,A,T1,P0,F3,S23,,,
tego,,,,cooperio ,,6r,24,a,A,T1,P0,F2,S22,,,
tegimen,,,,cooperimentũ,cooperimentum,6r,24,b,A,T1,P0,F2,S22,,,
ante cunđ. e. uel .i,et ante cundus e uel i,,,s̃ seruat᷑ consonan positionis,sunt seruatur consonan positionis,6r,24,c,A,T1,P0,F4,S53,,,
uerecunđ,uerecundus,,,ꝗ habet uerecundiã,qui habet uerecundia,6r,25,,AB,,P0,F4,S23,,,
quoque,,,,s silimit̃,scilicet similiter,6v,1,a,C,T3,P0,F2,S22,,,
quorum,,,,s̃ nominũ,nominum,6v,1,b,B,T2,P0,F2,S53,,,
pleraq;,pleraque,,,plurima,,6v,2,,B,T2,P0,F2,S22,,,
quia,,,,uerba,,6v,3,,C,T3,P0,F2,S53,,,
 significationem,,,,sensũ,sensum,6v,4,,B,T2,P0,F2,S22,,,
uerbaliter,,,,qͣsi ꝑũba,quasi preuerba,6v,5,,B,T2,P0,F2,S22,,,
pre/sertim,,,,ĩ maxime ł ominino,id est maxime uel omnino,6v,6,,A,T1,P0,F2,S22,,,
ubiq;,ubique,,,in õni nomine,in omni nomine,6v,7,,B,T2,P0,F3,S53,,,
positionis ,,,,s̃ pͥme persone,primae personae,6v,8,,A,T1,P0,F3,S53,,,
quaesole ante or,,,,s littere due.,scilicet litterae duae,6v,9,,C,T3,P0,F3,S53,,,
a presentis ,,,,tẽporis indicatiui,temporis indicatiui,6v,10,,A,T1,P0,F3,S53,,,
censor,,,,iudex,,6v,11,a,A,T1,P0,F2,S22,,,
defensor,,,,ꝓtector,protector,6v,11,b,A,T1,P0,F2,S22,,,
conusltor,,,,inꝗsitor,inquisitor,6v,12,a,B,T2,P0,F2,S22,,,
consultor,,,,consiliarius,,6v,12,b,AB,,,,,,,
amator,,,,dilector,,6v,12,c,AB,,P0,F2,S22,,,
uenator,,,,inse[quor] ferarũ ,insequor ferarum,6v,12,d,B,T2,P0,F3,S23,,,
lector,,,,ab oficiũ legendi,ab oficium legendi,6v,12,e,C,T3,P0,F3,S54,,,
petitor,,,,postulator ,,6v,12,f,AB,,P0,F2,S22,,,
auditor,,,,discipulus dr̃,discipulus dicitur,6v,12,g,AB,,P0,F3,S22,,,
desinentium,,,,terminanaciũ,terminancium,6v,17,,AB,,P0,F2,S22,,,
seruantium ,,,,(pr)eseruant,preseruant,6v,19,a,B,T2,P0,F2,S54,,,
sudo,,,,labor,,6v,19,b,B,T2,P0,F2,S22,,,
clamor,,,,ꝓira ponit᷑,pro ira ponitur,6v,20,a,B,T2,P0,F3,S23,,,
obsono,,,,c̃tradico,contradico,6v,20,b,B,T2,P0,F2,S22,,,
opsonor,,,,detractio  .oblocucio,,6v,20,c,AB,,P0,F2,S22,,"*διαβολία διασυρμός, ομιλίας εγκοπή",
error,,,,uagor  ,,6v,21,a,B,T2,P0,F2,S22,,,uagor. circũfero discurro. erro .
rubeo,,,,ꝓcolore ,pro colore,6v,21,b,B,T2,P0,F3,S22,,,
rubor,,,,uerec̃d,uerecundo,6v,21,c,B,T2,P0,F2,S22,,,
marceo,,,,defitio areo tabesco.,,6v,21,d,A,T1,P0,F2,S22,,,Marceo. langueo. ł areo;
marceo,,,,siue macior.,,6v,21,e,C,T3,P0,F2,S22,,,
candeo,,,,splendor,,6v,22,a,B,T2,P0,F2,S22,,,
candor,,,,albor,,6v,22,b,A,T1,P0,F2,S22,,,
algeo,,,,a frigeo,,6v,22,c,C,T3,P0,F3,S54,,,
algor,,,,frigus,,6v,22,d,AB,,P0,F2,S22,,,
olor,,,,odor,,6v,22,e,A,T1,P0,F2,S22,,,
olor,,,,-auis,ordorauis,6v,22,f,C,T3,,,,,,
timeo,,,,& timiditas,et timiditas,6v,23,a,C,T3,P0,F2,S22,,,
tenor,,,,acentꝰ,acentus,6v,23,b,A,T1,P0,F2,S22,,,
stupeo ,,,,admiro,,6v,24,a,A,T1,P0,F2,S22,,,
stupor ,,,,admiratio,,6v,24,b,A,T1,P0,F2,S22,,,
horreo.,,,,timeo,,6v,24,c,A,T1,P0,F2,S22,,,
ferueo ,,,,ardeo incendo,,6v,25,a,A,T1,P0,F2,S22,,,
feruor,,,,calor,,6v,25,b,C,T3,P0,F2,S22,,,
strideo,,,,stride porcoru,stride porcorum,6v,25,c,B,T2,P0,F3,S23,,,
canor,,,,ipsa modulatio ,ipsa modulatio,7r,1,a,C,T3,P0,F3,S22,,,
canor,,,,dr̃ melodia ,dicitur melodia,7r,1,b,A,T1,P0,F4,S22,,,
sapio,,,,intelligo,,7r,2,a,B,T2,P0,F2,S22,,,
furio,,,,insanio  ,,7r,2,b,A,T1,P0,F2,S22,,,
furia,,,,ipsa iracundia,ipsa iracundia,7r,2,c,A,T1,P0,F3,S22,,,
sopio,,,,dormio,,7r,2,d,C,T3,P0,F2,S22,,,
sopor ,,,,ipsa quies sõnii,ipsa quies somnii,7r,3,a,A,T1,P0,F3,S22,,,
liquor,,,,defluo,,7r,3,b,A,T1,P0,F2,S22,,,liquor defluo. labor
liq;ris,liqueris ,,,uerbum/illu liquans,oleum liquans ?,7r,3,c,A,T1,P0,F3,S23,,,
duo,,,,nominũ p̃ dictoꝝ,nominum pre dictorum,7r,3,d,B,T2,P0,F3,S53,,,
penultimã ,,,,s. sillabã.,scilicet sillabam,7r,4,,C,T3,P0,F2,S53,,,
consonans,,,,mille ,,7r,5,,,,P1 left,F2,?,,*Omnes argentei eius mille id est omnes sermones eius consonant in una fide,
madeo,,,,umifio,,7r,6,a,A,T1,P0,F2,S22,,,
madidus,,,,umiđ,umidus,7r,6,b,A,T1,P0,F2,S22,,,
splendidus,,,,luciđ ,lucidus,7r,7,a,A,T1,P0,F2,S22,,,
splendidus,,,,fulgidus,,7r,7,b,C,T3,P0,F2,S22,,,
sordeo,,,,squaleo,,7r,7,c,A,T1,P0,F2,S22,,,
sordidus ,,,, tͫpisseđ ,turpis sedus,7r,7,d,A,T1,P0,F2,S22,,,
frigeo,,,,algeo,,7r,7,e,A,T1,P0,F2,S22,,,
torreo ,,,,arefio uro,,7r,7,f,A,T1,P0,F2,S22,,,
torridus,,,,arefactꝰ siccus,arefactus siccus,7r,8,a,A,T1,P0,F2,S22,,,
ferueo ,,,,splendo ,,7r,8,b,B,T2,P0,F2,S22,,,
ferueo ,,,,studeo,,7r,8,c,C,T3,P0,F2,S22,,,
feruidus,,,,caliđ,calidus,7r,8,d,B,T2,P0,F2,S22,,,
tepidus,,,,dr̃ tẽperatꝰ,dicitur termperatus,7r,9,a,A,T1,P0,F2,S22,,,
stupidus,,,,timidus. siue admirans,stupidus siue admirans,7r,9,b,A,T3,P0,F2,S22,,,
aridus ,,,,siccꝰ,siccus,7r,10,a,A,T1,P0,F2,S22,,,
rapio ,,,,tollo ,,7r,10,b,B,T2,P0,F2,S22,,,
rapio,,,,aufero,,7r,10,c,C,T3,P0,F2,S22,,,
rapidus,,,,agilis ,,7r,10,d,B,T2,P0,F2,S22,,,
rapidus,,,,uelox,,7r,10,e,A,T1,P0,F2,S22,,,
 cupio ,,,,desidero ,,7r,10,e,B,T2,P0,F2,S22,,,
cupidus,,,,auidus,,7r,10,f,A,T1,P0,F2,S22,,,
uiuidus,,,,sagax & agilis,sagax et agilis,7r,11,a,C,T3,P0,F2,S22,,,
fluuidus.,,,,decurrens ł fluens,decurrens uel fluens,7r,11,b,A,T3,P0,F2,S22,,,fluuidus. fluens decurrens solutus humor;
ꝓferuntur,proferuntur,,,dic̃t᷑,dicitur,7r,12,,B,T1,P0,F2,S22,,,
prandus,,,,opulator,opitulator,7r,13,a,B,T2,P0,F2,S22,,"*Kail=pando !! Sedilius Scottus//Detrahit quidem, ut ab inuideo et prandeo inuidus et prandus causa sonoritatis minus una syllaba proferuntur",
trepidus,,,,r,,7r,13,b,m0,T0,P0,F1,S611,,*rajout,
trepido,,,,formido,,7r,13,c,B,T2,P0,F2,S22,,,
ante clausulã,ante clausulam,,,ante terminacionis,,7r,19,a,B,T2,P0,F3,S22,,,
seruantia,,,,& habentia,et habentia,7r,19,b,C,T3,P0,F2,S22,,,
teges,,,,ipsũ cooperimentũ.,,7r,20,a,A,T1,P0,F3,S22,,,
mergo,,,,infundo  ⁊  inolino,,7r,20,b,B,T2,P0,F2,S22,"https://www.jstor.org/stable/pdf/310648.pdf p.135 note.5*Mergi: corvi maritimi, dicuntur corvi a crebra mersione;
 merges vero mergitis, dicuntur manipuli segetum. Cf. BE p. 258.18:
 Mergi, corvi marini, S and Vat. Geor. 2, 517, DS Aen. 5, 128, Suet.
 Diff. Verb., p. 281 Reiff.' /note/ I Cf. R p. 204.13: corvi aquatici; Festus 124.IM., LG 222.18, C.G.L. IV, 372.26
 (Amplon.), Isid. Orig. 12, 7, 54. Remigius in Focam (p. 419.28K) has something
 similar: Mergus mergi, corvus aquaticus a frequenti mersione. Mergitis manipulus
 spicarum. See Didaskaleion II (1913), p. 83 (Manitius). Cf. m. 5 on Aen. 5, 128:
 Mergi sunt corvi mari (sic) a crebra mersione dicti", Merges fascis spicarũ ł lim,
mergo,,,coruus maritimꝰ dr,,coruus maritimus dicitur,7r,20,f,B,T2,P1 right,F4,S23,,,
luo,,,,penas soluo ,,7r,20,c,A,T1,P0,F2,S22,,,
cedes,,,,clades . ꝑcutio,clades percutio,7r,20,d,A,T1,P0,F2,S22,,,
struo,,,,congero,,7r,20,e,C,T3,P0,F2,S22,,*scholie à droite liée à ?,
torqueo,,,,affligo ,,7r,22,a,A,T1,P0,F2,S22,,,intorqueo . uibro
