lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
p448_l19_o01,02v,anomalis ,inęqualib;,S22,F2,,,,71r,anomalis ,p448_l19_o01_a,inęqualib,S22,F2,normal,,,,p448,73v,anomalis ,p448_l19_o01_a,inęqualib; / s. uerbis,S22,F2,p448_l19_o01_b,S22,F4
p448_l20_o04,02v,cędo,dic,,F2,,,,71r,cedo ,p448_l20_o04_a,dic,S22,F2,normal,,,,p448,73v,cędo ,p448_l20_o04_a,ꝑcutio,S22,F2,p448_l20_o04_b,S13,F5
p448_l20_o06,02v,faxo,ꝓfacio,S22,F2,,,,71r,faxo ,p448_l20_o06_a,facio ł ILLUMIN ͦ?,S22,F3,normal,,,,p448,73v,Faxo ,p448_l20_o06_a,facio ł illumino,S22,F3,,,
p448_l20_o07,02v,sodes,si audes,S23,F3,,,,71r,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,,p448,73v,Sodes ,p448_l20_o07_a,si audes,S25,F3,,,
p448_l20_o08,02v,aue,salue,S22,F2,,,,71r,aue ,p448_l20_o08_a,salue,S22,F2,normal,,,,p448,73v,Aue ,p448_l20_o08_a,salue,S22,F2,,,
p448_l20_o09,02v,ferit,qͣsi ꝑcutit,S22,F2,,,,71r,ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,normal,p448_l20_o09_b,S54,F4,p448,73v,Ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,p448_l20_o09_b,S5,F5
p448_l20_o10,02v,insit,dicit,S22,F2,,,,71r,infit ,p448_l20_o10_a,inquit,S22,F2,normal,,,,p448,73v,Infit ,p448_l20_o10_a,inꝗd,S22,F2,,,
p448_l24_o06,03r,temptabo,conabor,S22,F2,,,,71r,tẽptabo ,p448_l24_o06_a,conabor nitare,S53,F3,normal,,,,p448,73v,tẽptabo ,p448_l24_o06_a,conabor nitari  .s. de una ꝑfecta et trib; ĩꝑfectis :,S53,F4,p448_l24_o06_b,S53,F5
p448_l28_o02,03r,ebesco ,fadt᷑dr̃,S22,F2,,,,71v,hebesco ,p448_l28_o02_a,hebes fieri incipio,S23,F3,normal,,,,p448,73v,Hebesco ,p448_l28_o02_a,hebes eẽ incipio,S23,F3,,,
p448_l28_o04,03r,pertimesco,ualde timere incipio ,S23,F4,,,,71v,ꝑtimesco ,p448_l28_o04_a,ꝑtimere INCIPI ͦ,S23,F3,shorthand,,,,p448,73v,Pertimesco ,p449_l28_o04_a,inc̃ ꝑtimere,S23,F3,,,
p448_l28_o05,03r,euanesco,deficio,S22,F2,,,,71v,euanesco ,p448_l28_o05_a,uanꝰ INCIPI ͦ FI ͤ ͬ ͥ,S23,F3,shorthand,,,,p448,73v,Euanesco. ,p448_l28_o05_a,inc̃ euanere ł uacuare / ł uanus fieri incipio,S23,F3,,,
p449_l01_o04,03r,labasco,ruere,S22,F2,,,,71v,labasco ,p449_l01_o04_a,labere ID EST CAD ͤ ͬ ͤ INCIPI ͦ,S23,F3,normal,p449_l01_o04_b,S54,F4,p449,73v,Labasco ,p449_l01_o04_a,labare ÷ ruere,S23,F3,p449_l01_o04_b,S23,F4
p449_l02_o04,03r,glisco,cresco,S22,F2,,,,71v,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,,p449,73v,Glisco ,p449_l02_o04_a,÷ crescere,S23,F3,p449_l02_o04_b,S5,F5
p449_l04_o01,03r,micturio,mingere /meditor,S22,F3,,,,71v,micturio ,p449_l04_o01_a,mingere meditor,S23,F3,normal,,,,p449,73v,Micturio ,p449_l04_o01_a,÷ mingere,S23,F3,,,
p449_l04_o02,03r,esurio,manducare,S22,F2,,,,71v,esurio ,,,,,,p449_l04_o02_a,S333,F4,p449,73v,Esurio ,p449_l04_o02_a,÷ esurire,S23,F3,,,
