,lemma_id,lemma_Bamberg,gloss_Bamberg,nature,lemma_Lat7499,gloss_Lat7499
149,p449_l29_o07,solũ ,TANTUMMODO SUBAUD ͥ ͭ ͧ ͬ HOC HAB ͤ ͭ,shorthand,solũ ,solũ mͦ /.s. hoc hab&
163,p449_l33_o03,liqueor ,defluo DECURR ͦ,shorthand,Liqueor ,liquorẽ facio
205,p450_l13_o01,illa ,VERB ͣ,shorthand,illa ,uerba
206,p450_l13_o02,primę ,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,shorthand,primę ,coniugatioñ
208,p450_l13_o07-09,trissillabis ,VERBIS,shorthand,non minus trisillabis. ,nõib
213,p450_l17_o01,fiducior ,FIDUCI ͣ ͫ HAB ͤ ͦ,shorthand,Fiducior ,fidutiã habeo
289,p452_l04_o03,adhęrentia ,SERU ͣ ᷠ ͭ ͥ ͣ,shorthand,adhęrentia ,seruientia
291,p452_l05_o01,origines ,INITI ͣ EXORDI ͣ,shorthand,origines ,initia ł pͥmor/dia
295,p452_l08_o05,generales ,COMMU ᷠ ͤ ᷤ,shorthand,generales ,÷ cõmunes
296,p452_l08_o07,speciales ,PROPRI ͤ,shorthand,spetiales ,ꝓpͥe
309,p452_l17_o07,imperiũ ,POTESTAS REGN ͧ ͫ,shorthand,Imperium ,regnũ potestas
310,p452_l18_o01,c̃uiuor ,CUM AL ͥ ͥ ᷤ AD CONUIUIUM SUM,shorthand,Conuiuor ,cũ ãliis uiuo/ad conuiuium sum / a conuiua dictũ
315,p452_l19_o03,Remediũ ,Su ̶ ?  ͭ ͥ ͣ(sanitas?),shorthand,Remediũ ,sanitas medicina
316,p452_l19_o04,Nubo ,UX ͦ ͬ ͤ ͫ DUC ͦ,shorthand,Nubo ,uxorem duco
327,p452_l22_o04,iusticiũ ,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,shorthand,Iustitium ,locus ubi iustitia sit
328,p452_l22_o06,silicernũ ,DIC ͥ ͭ ͧ ͬ HOMO QUI SENEC ͭ ͧ ͭ ͤ ͫ ? SU ͥ CERN ͥ ͭ,shorthand,Silicernium ,ipsa res
329,p452_l22_o07-09,Ante .iculũ. ,SUBAUD ͥ ͭ ͧ ͬ SERU ͣ ᷠ ͭ CONSONAN ͭ ͤ ᷤ ?,shorthand,itẽ-an-.iculũ. ,.s. seruat᷑ consonans
334,p452_l23_o06,Euersiculũ ,++? ͤ ᷠ ͭ ͥ ͣ(destructio?),shorthand,Euersiculũ ,destructio diuisio
335,p452_l24_o02,Ueho ,++?,shorthand,Veho ,porto
347,p452_l28_o09-11,Ante .or.quoq; ,sb̶ seruant c̃sonantẽ UERB ͣ ITA? NOMINA ͫ ͧ ᷤ (uerba in nominibus?),shorthand,Ante .or. quoq; ,.s. seruant consonantẽ uerba in nõib
351,p452_l31_o10,pręsertim ,(maxime?),shorthand,p̃sertim ,maxime
353,p453_l02_o01,uocabulũ ,(nomen?),shorthand,uocabulũ ,nom̃
371,p453_l11_o11,tenor ,uis (uirtꝰ?),shorthand,tenor ,accentꝰ uis uirtꝰ
372,p453_l12_o01,tepeo ,(trepidꝰ fio?),shorthand,Tepeo ,tepiđ euenio/ł fio
374,p453_l12_o05,ferueo ,(ardeo?),shorthand,Ferueo ,ardeo ira
377,p453_l14_o02,furor ,(ira?insania?),shorthand,furor ,ira insanio
385,p453_l17_o07,sordidus ,ma(culatus)?,shorthand,sordidus ,maculatꝰ
387,p453_l18_o08,Stupeo ,(admiror?),shorthand,Stupeo ,admiror
394,p453_l26_o09,cędes ,+,shorthand,cędes ,pescis/occidio/homicidiũ
402,p453_l29_o02,nubilis ,puella apta (ad nubendum?),shorthand,nubił ,puella/apta ad/nubendũ
424,p454_l03_o04,fallo ,(mentior?),shorthand,Fallo ,m̃tior
426,p454_l03_o10,sagio ,+,shorthand,Sagio ,diuino/ꝓpheto
443,p454_l14_o04,generales ,cõmunes sb̶ clausulę (superiores?),shorthand,generales ,cõmunes .s. clausulę sicuti superiores
448,p454_l18_o05,c̃uena ,simul/ueniens,shorthand,conuena ,ꝗ cũ uenit/simul ueniens
454,p454_l19_o03,Gigno ,+,shorthand,Gigno ,nutrio
459,p454_l21_o05,lucina ,++ a parien/tib ++,shorthand,Lucina ,et inde luna diriuatur ꝑ sincopã dea/quę parientib; lucẽ prestat
485,p454_l30_o02,arcus. ,++,shorthand,archus ,ab arcendis
492,p454_l31_o07,inuidus ,inuidꝰ ÷ ꝗ inuid& : Inuidiosꝰ ꝗ (alterius inuidia paritur),shorthand,inuidus ,inuidus ẽ ꝗ inuid& inuidiosus / ꝗ alterius inuidiã patitur
504,p455_l03_o05,sculprum ,ferrem̃tũ +++,shorthand,scalprũ ,ferrum quo scalpunt/carpentarii/ł sculprũ
518,p455_l11_o11,pręsideo ,+,shorthand,p̃sideo ,p̃sũ ł antesedeo
523,p455_l18_o07,eas. ,(terminationes?),shorthand,eas. ,.s. terminationes
