folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,nature,marginal_note_id,marginal_note_type,marginal_note_form
71v,p449_l18_o01,facilior ,p449_l18_o01_a,planior leuior,S22,F3,normal,,,
71v,p449_l19_o05,finalis ,p449_l19_o05_a,+,S22,F2,shorthand,,,
71v,p449_l19_o13,penitꝰ ,p449_l19_o13_a,funditꝰ,S22,F2,normal,,,
71v,p449_l20_o06,reboo ,p449_l20_o06_a,resono,S22,F2,normal,p449_l20_o06_b,S53,F5
71v,p449_l20_o11,boω ,p449_l20_11_a,sono,S22,F2,normal,,,
71v,p449_l22_o06,reboant ,,,,,,,,
71v,p449_l22_o10,olimpus ,p449_l22_o10_a,mons ÷,S554,F4,normal,,,
71v,p449_l23_o02,inchoo ,p449_l23_o02_a,incipio,S22,F2,normal,,,
71v,p449_l23_o09,traductũ ,p449_l23_o09_a,deductũ diriuatũ,S22,F3,normal,,,
71v,p449_l24_o02,igit᷑ ,p449_l24_o02_a,+,S22,F2,shorthand,,,
71v,p449_l25_o04,u&eres ,p449_l25_o04_a,antiquos,S22,F2,normal,,,
71v,p449_l25_o05-06,artiũ scriptores ,p449_l25_o05-06_a,artiũ disciplinarum doctores,S23,F3,normal,,,
71v,p449_l25_o08,c̃iugationis ,p449_l25_o08_a,SUBAUD ͥ ͭ ͧ ͬ?  SUNT,S53,F2,shorthand,,,
71v,p449_l26_o02,sola ,p449_l26_o02_a,CONIUGA ͭ ͥ ͦ SECUND ͣ,S53,F3,normal,,,
71v,p449_l26_o11,alię ,,,,,,,,
71v,p449_l27_o07,frequentatiua ,p449_l27_o07_a,SUBAUD ͥ ͭ ͧ ͬ VERB ͣ POSSID ͤ ͭ,S53,F4,normal,,,
71v,p449_l27_o08,t̃tia ,p449_l27_o08_a,CONIUGA ͭ ͥ ͦ,S53,F2,shorthand,,,
71v,p449_l27_o09,inchoatiua ,p449_l27_o09_a,SUBAUD ͥ ͭ ͧ ͬ VERB ͣ POSSID ͤ ͭ,S53,F4,normal,,,
71v,p449_l28_o01,quarta ,,,,,,,,
71v,p449_l28_o05,scđa ,p449_l28_o05_a,CONIUGA ͭ ͥ ͦ,S53,F2,shorthand,p449_l28_o05_b,S63,F4
71v,p449_l29_o01,specialẽ  ,p449_l29_o01_a,PROPRI ͣ ͫ POSSID ͤ ͭ,S53,F4,shorthand,,,
71v,p449_l29_o02,ipsa ,p449_l29_o02_a,CONIUGA ͭ ͥ ͦ SECUND ͣ,S53,F3,shorthand,,,
71v,p449_l29_o07,solũ ,p449_l29_o07_a,TANTUMMODO SUBAUD ͥ ͭ ͧ ͬ HOC HAB ͤ ͭ,S53,F3,shorthand,,,
71v,p449_l30_o03,habeo ,p449_l30_o03_a,possideo,S22,F2,normal,,,
71v,p449_l30_o04,taceo ,p449_l30_o04_a,sileo,S22,F2,normal,,,
71v,p449_l30_o09,moneo ,p449_l30_o09_a,admoneo,S22,F2,normal,,,
71v,p449_l30_o10,stupeo ,p449_l30_o10_a,admiror,S22,F2,normal,,,
71v,f74r_l17_o12,scabeo ,f74r_l17_o12_a,scalpo,S22,F2,normal,,,
71v,f74r_l18_o01,arceo ,f74r_l18_o01_a,ꝓhibeo,S22,F2,normal,,,
71v,p449_l31_o01,censeo ,p449_l31_o01_a,iudico,S22,F2,normal,,,
71v,p449_l30_o05,candeo ,p449_l30_o05_a,albesco,S22,F2,normal,,,
71v,p449_l30_o08,timeo ,p449_l30_o08_a,uereor,S22,F2,normal,,,
71v,p449_l30_o06,egeo ,p449_l30_o06_a,opus habeo,S23,F4,normal,,,
71v,p449_l31_o02,pateo ,p449_l31_o02_a,aperio,S22,F2,normal,,,
71v,p449_l31_o03,caueo ,p449_l31_o03_a,p̃uideo,S22,F2,normal,,,
71v,p449_l33_o02,polliceor ,p449_l33_o02_a,spondeo,S22,F2,normal,p449_l33_o02_b,S63,F2
71v,p449_l33_o03,liqueor ,p449_l33_o03_a,defluo DECURR ͦ,S23,F3,shorthand,,,
71v,p449_l33_o04,medeor ,p449_l33_o04_a,sano medico,S22,F3,normal,,,
71v,p449_l33_o06,męreor ,p449_l33_o06_a,tristor,S22,F2,normal,,,
71v,p449_l33_o05,reor ,p449_l33_o05_a,ęstimo autumo,S22,F3,normal,,,
71v,p449_l33_o07,uereor ,p449_l33_o07_a,paueo,S22,F2,normal,,,
71v,p449_l33_o10,fateor ,p449_l33_o10_a,dico,S22,F2,normal,,,
71v,p450_l01_o01,ꝓfiteor ,p450_l01_o01_a,c̃fiteor,S22,F2,normal,,,
71v,p450_l01_o02,tueor ,p450_l01_o02_a,uideo ł defendo,S22,F3,normal,,,
71v,p450_l01_o03,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,
71v,p450_l01_o04,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,normal,,,
71v,p450_l01_o06,primę ,,,,,,p450_l01_o06_a,S63,F3
71v,p450_l01_o08,beo ,p450_l01_o08_a,beatũ facio,S23,F4,normal,,,
71v,p450_l01_o09,creo ,p450_l01_o09_a,c̃do,S22,F2,normal,,,
71v,p450_l02_o01,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,
71v,p450_l02_o03,nauseo ,p450_l02_o03_a,fastidio,S22,F2,normal,,,
71v,p450_l02_o04,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,
71v,p450_l02_o05,laqueo ,p450_l02_o05_a,irr&io,S22,F2,normal,,,
71v,p450_l02_o06,screo ,p450_l02_o06_a,spuo,S22,F2,normal,,,
71v,f71v_l24_o05,calceo ,,,,,,f71v_l24_o05_a,S54,F4
71v,p450_l02_o07,Quartę ,p450_l02_o07_a,sb̶notant᷑ uerba,S53,F4,normal,,,
71v,p450_l03_o04,his ,p450_l03_o04_a,ID EST eo & queo,S53,F3,normal,,,
71v,p450_l03_o07,illis ,p450_l03_o07_a,sup̃dictis q̃ st̃ pͥmę c̃iug̃,S64,F4,normal,,,
71v,p450_l05_o01,c̃iugatio ,p450_l05_o01_a,sola,S611,F2,normal,,,
71v,p450_l05_o02,uendicat ,p450_l05_o02_a,HAB ͤ ͭ assumit,S22,F3,normal,,,
71v,p450_l05_o03,imbuo ,p450_l05_o03_a,doleo inbibo/ATQUE immolo UT + ab +,S22,F3,normal,,,
