lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p451_l08_o10,04v,sarcio,c̃stringo,S22,F2,,,
p451_l09_o02,04v,fartio,im pleo {expleo? ex far++ ?},S23,F4,,,
p451_l09_o03,04v,expedio,quasi impeditũ,S22,F2,,,
p451_l09_o06,04v,condio,p̃paro,S22,F2,,,
p451_l09_o08,04v,erudio,doceo,S22,F2,,,
p451_l10_o01,04v,uagio,ploro,S22,F2,,,
p451_l10_o02,04v,p̃sagio,futura prędico,S23,F3,,,
p451_l10_o04,04v,sepelio,sacro /c̃do,S22,F3,,,
p451_l10_o05,04v,stabilio ,constituo/c̃firmo,S22,F3,,,
p451_l10_o09,04v,redimio,decoro cõpono orno,S22,F2,,,
p451_l10_o10,04v,exinanio,exuacuo,S22,F2,,,
p451_l11_o02,04v,insanio,furio,S22,F2,,,
p451_l11_o03,04v,lenio,seduco ł decipio,S22,F2,,,
p451_l11_o04,04v,insignio,orno/redimio,S22,F3,,,
p451_l11_o09,05r,Grunnio,murmuro,S22,F2,,,
p451_l11_o10,05r,munio,defendo,S22,F2,,,
p451_l11_o11,05r,Punio,uindico,S22,F2,,,
p451_l12_o01,05r,Sepio,circũdo,S22,F2,,,
p451_l12_o02,05r,Sopio,dormio,S22,F2,,,
p451_l12_o03,05r,Ferio,ꝑcucio,S22,F2,,,
p451_l12_o05,05r,Aperio,manifesto,S22,F2,,,
p451_l12_o06,05r,Garrio,murmuro,S22,F2,,,
p451_l12_o07,05r,Ligurrio,lango ł gusto.,S22,F2,,,
p451_l12_o08,05r,Esurio,quasi edere desidero,S22,F3,,,
p451_l13_o01,05r,Prurio,saniem emitte iđ scabiem,S23,F4,,,
p451_l13_o02,05r,Parturio,parere/meditor,S54,F3,,,
p451_l13_o04,05r,Inretio,inligo,S22,F2,,,
p451_l13_o06,05r,gestio,exulto gaudeo,S22,F3,,,
p451_l18_o09,05r,congationis,iu,S611,F1,,,
p451_l13_o08,05r,effugio,effundo,S22,F2,,,
p451_l13_o09,05r,seruio,oboedio,S22,F2,,,
p451_l14_o02,05r,blandior,lenior,S22,F2,,,
p451_l14_o04,05r,ordior,incipio,S22,F2,,,
p451_l14_o08,05r,sortior,ĩ accipio,S22,F2,,,
p451_l15_o01,05r,Partior,Diuido & secor,S22,F3,,,
p451_l15_o05,05r,om̃a,s̃ uerba quarte coniugationis,S53,F3,,,
p451_l15_o10,05r,carent ,amittent,S22,F2,,,
p451_l17_o09,05r,spetiem,id̃ ÷ formã,S22,F2,,,
p451_l18_o03,05r,dictorum,s̃ uerborum,S22,F2,,,
p451_l19_o02,05r,tertiam,correptã,S611,F2,,,
f05r_l09_o04,05r,alia,s̃ uerba ,S3232,F2,,,
f05r_l09_o12,05r,et alia,eorũ ũborũ,S3232,F3,,,
p451_l21_o02,05r,ut,÷,S611,F1,,,
p451_l21_o06,05r,elitio,expͥmo /seduco,S22,F3,,,
p451_l21_o07,05r,inlitio,seduco ł ereo,S22,F3,,,
p451_l21_o08,05r,pellitio,in fraudũ duco.,S23,F3,,,
p451_l21_o09,05r,interfitio,occido,S22,F2,,,
p451_l21_o10,05r,offitio,noceo,S22,F2,,,
p451_l22_o01,05r,capio,conp̃hendo,S22,F2,,,
p451_l22_o02,05r,sapio,scio,S22,F2,,,
p451_l22_o06,05r,fodio,ꝑforo,S22,F2,,,
p451_l22_o07,05r,fugio,ꝓficiscor.,S22,F2,,,
p451_l22_o09,05r,quatio,tremo,S22,F2,,,
p451_l23_o01,05r,patior,suffero sustineo,S22,F3,,,
p451_l22_o04,05r,orior,nascor,S22,F2,,,
p451_l23_o05,05r,potior,utor,S22,F2,,,
p451_l25_o10,05r,plerũq; ,ꝗ añ sẽper,S22,F2,,,
p451_l28_o01,05r,quę,s forma,S3232,F2,,,
p451_l32_o01,05v,que,uerba,S3232,F2,,,
p451_l32_o12,05v,ambiguitate,dubietate ,S22,F2,,,
p451_l33_o01-02,05v,si possĩ,si ualeo,S22,F3,,,
p451_l33_o03,05v,disserere,manifestare,S22,F2,,,
p451_l33_o09,05v,rerũ ,substantiarũ,S22,F2,,,
p451_l34_o05,05v,ubertati,copie,S22,F2,,,
p451_l35_o08,05v,multa,S̃ uerba,S53,F2,,,
p451_l35_o10,05v,pene,(++)pe,S22,F2,,,
p451_l36_o05,05v,genuit,S̃ uerba,S53,F2,,,
p452_l01_o04,05v,quib;,S̃ uerbiis,S3232,F2,,,
p452_l02_o04,05v,motu ,ĩ modo,S22,F2,,,
p452_l02_o07,05v,eas,terminationes,S3232,F2,,,
p452_l03_o05,05v,traduxit,constituit,S22,F2,,,
p452_l03_o06,05v,quas ,s ipsa natura,S3232,F3,,,
p452_l03_o07,05v,qui,s t̃rminatnes,S3232,F2,,,
p452_l03_o08,05v,perceperit,intellexerit,S22,F2,,,
p452_l04_o01,05v,facilius,leuius,S22,F2,,,
p452_l04_o03,05v,adherentia ,ĩ coherentia,S22,F2,,,
p452_l05_o01,05v,origines,principia exordia,S22,F3,,,
p452_l06_o02,05v,deducuntur;,transformantur,S22,F2,,,
p452_l07_o10,05v,eorũ ,fontiũ,S3232,F2,,,
p452_l08_o03,05v,clausulae,,,,[termi]natio nominũ / uaria pͥma ꝑsona/in por in bor,S53,F4
p452_l08_o08,05v,distinctę;,diuise separate,S22,F2,,,
p452_l09_o02,05v,aut̃ ,ł enĩ,S22,F2,,,
p452_l09_o07,05v,uenientes ,diriuantes,S22,F2,,,
f05v_l24_o06,05v,terminationes,s diriuatione generaliũ,S53,F3,,,
p452_l13_o05,06r,obseruando,custodiendo,S22,F2,,,
p452_l13_o08,06r,positionis ,s uerbi,S412,F2,,,
p452_l14_o06,06r,inuenta,&reperta,S22,F2,,,
p452_l15_o04-05,06r,ante ium ,s̃ seruat᷑ c̃sonans,S53,F3,,,
p452_l15_o08,06r,litigo,rexo,S22,F2,,,
p452_l15_o09,06r,litigium,iurgium,S22,F2,,,
p452_l15_o10,06r,mercor,emtores,S22,F2,,,
p452_l15_o11,06r,commertium,mercimoniũ,S22,F2,,,
p452_l16_o01,06r,obsono ,contradico,S22,F2,,,
p452_l16_o02,06r,obsonium,contradictio ł detractio,S22,F3,,,
p452_l16_o03,06r,uestigo ,porscrutor inquaero,S22,F3,,,
p452_l16_o04,06r,uestigium,inditiũ pedis,S23,F3,,,
p452_l16_o05,06r,edifico,ędẽ fatio/c̃seruo,S23,F3,,,
p452_l16_o06,06r,sacrifico,libo/aliqͣ  oblatio,S22,F3,,,
p452_l17_o01,06r,sacrificium,sacrũ factũ,S25,F3,,,
p452_l17_o02,06r,participo,mancipo cõm(unico),S22,F2,,,
p452_l17_o04,06r,mancipo,,,,,,
p452_l17_o05,06r,mancipium,manu captũ,S25,F2,manu++++abeo,S23,F3
p452_l17_o06,06r,inpero,precipio,S22,F2,,,
p452_l17_o07,06r,inperium,p̃ceptũ,S22,F2,,,
p452_l18_o02,06r,conuiuium,a cummunione uescenciũ̃/nomen habens,S54,,,,
p452_l18_o03,06r,prandeo,comedo,S22,F2,p̃sens sedeo,S54,F3
