folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
79v,p456_l28_o04-05,ante lata. ,p456_l28_o04-05_a,ͣł anteposita/÷ narata dicta,S22,F3,,,
79v,p456_l29_o03,traductionib; ,p456_l29_o03_a,diriuationib;,S22,F2,,,
79v,p456_l29_o07,facundię ,p456_l29_o07_a,eloq̃ntię,S22,F2,,,
79v,p456_l29_o09,Immo ,p456_l29_o09_a,certe,S22,F2,,,
79v,p456_l30_o03,pręceptor ,p456_l30_o03_a,magist̃,S22,F2,,,
79v,p456_l30_o05,quarto ,p456_l30_o05_a,÷ in .IIIͭIͦ. lib̶ de nominatiuo,S53,F4,,,
79v,p456_l31_o02,subtilitate ,p456_l31_o02_a,sagacitate,S22,F2,,,
79v,p456_l31_o03,copiosissime ,p456_l31_o03_a,abundant̃,S22,F2,,,
79v,p456_l32_o03,hęc ,p456_l32_o03_a,s. pauca qͣ usq/nunc dixi de nõib,S53,F4,,,
79v,p456_l33_o02-03,Reliquę parti ,,,,,p456_l33_o02-03_a,S5,F5
79v,p456_l35_o01,quicquid ,p456_l35_o01_a,quale cũq;,S22,F2,,,
79v,p456_l35_o03,appositum ,p456_l35_o03_a,adhęrens,S22,F2,,,
79v,p456_l35_o05,repperit᷑ ,p456_l35_o05_a,inueniatur,S22,F2,,,
79v,p456_l35_o06,Nam ,p456_l35_o06_a,Hoc enĩ capitulũ non debuiss& interponi hic:  interior conseruatio non potest intellegi sine temptabo/ .S. Si decurrant exẽpla ꝑ singulas terminationes  nisi forte ł merę sint illę terminationes reliquę/ΜΉΡΟΝ enim grece parum latine,S5,F5,,,
79v,p456_l35_o07-11,non solũ a uerbis nom̃ ,,,,,p456_l35_o07-11_a,S5,F5
79v,p456_l36_o08,deductum ,p456_l36_o08_a,diriuatũ,S22,F2,p456_l36_o08_b,S53,F5
79v,p456_l36_o09,ostendere ,p456_l36_o09_a,.s. tẽptabo ostendere ñ ꝑtinere qđ ipsũ uerbũ ñ  ad aliã regulã ⁊rłꝗ,S53,F4,,,
79v,p457_l01_o06-08,.o. finalẽ pręcedente ,p457_l01_o06-08_a,ut turbo modo p̃cedit consonans ÷ .B.o. finalẽ,S53,F4,,,
79v,p457_l02_o10,manifestius ,p457_l02_o10_a,iđ ÷  om̃e uerbum a nõe tra/ductum consonante anteceden/te non ad aliam coniugatione/ꝑtinet nisi ad primam,S53,F4,,,
79v,p457_l03_o04,singulas ,p457_l03_o04_a,.s. terminationes,S53,F2,,,
79v,p457_l04_o06,merę ,p457_l04_o06_a,purę,S22,F2,,,
79v,p457_l04_o07,grecę ,p457_l04_o07_a,terminatniones,S53,F2,,,
79v,p457_l04_o09,quę ,p457_l04_o09_a,.s. nõa greca,S3232,F3,,,
79v,p457_l05_o05,ꝓpriis ,p457_l05_o05_a,.s.  ꝓpria s̃ ut ęneas,S53,F4,,,
79v,p457_l06_o05,ꝓpriis ,p457_l06_o05_a, de ꝓprius nõib; ñ diriuant᷑ uerba,S53,F4,,,
79v,p457_l06_o06,romanis ,p457_l06_o06_a,÷ latinis ut terentius,S53,F3,,,
79v,p457_l06_o09-10,ab accidentib; ,p457_l06_o09-10_a,ab adiectiuis,S22,F3,,,
79v,p457_l06_o11,diriuatę ,p457_l06_o11_a,.s. terminationes,S53,F2,,,
79v,p457_l07_o04,significeNt ,p457_l07_o04_a,.s. illę diriuatę terminationes,S415,F3,,,
79v,p457_l07_o07,eis ,p457_l07_o07_a,.s. diriuatis terminationib,S53,F3,,,
79v,p457_l08_o01,merito ,p457_l08_o01_a,iure,S22,F2,,,
79v,p457_l08_o02,suꝑuacua ,p457_l08_o02_a,suꝑflua,S22,F2,,,
79v,p457_l08_o03,uideat᷑  ,p457_l08_o03_a, uidet᷑,S22,F2,,,
79v,p457_l08_o06,rẽ ,p457_l08_o06_a,÷ incorporalem,S22,F2,,,
79v,p457_l08_o08,quã ,p457_l08_o08_a,hoc enĩ significareNt uerba qđ & nõa,S53,F4,,,
